[2025-06-28 18:02:14] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-28 18:17:54] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-28 18:17:59] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-28 18:19:11] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-04 21:21:58] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-07-04 22:31:15] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-06 14:47:21] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-07-06 18:13:02] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-07 15:11:37] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-07 15:40:44] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-07 16:53:16] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-12 21:41:48] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-07-13 16:15:52] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-07-13 17:52:39] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-14 16:53:06] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-07-15 04:19:17] [INFO] Occupancy fetched: room=fg#05, count=1
[2025-07-17 15:32:25] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-07-20 14:41:54] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-07-20 14:41:56] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-07-20 16:26:41] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-20 17:43:45] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-07-20 17:44:01] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-07-22 09:52:51] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-25 15:17:36] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-07-31 13:27:46] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-31 14:19:42] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:23:11] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:23:36] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:27:19] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:28:05] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:29:19] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-31 14:30:34] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-31 14:31:12] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:32:19] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:32:57] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 14:33:12] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-07-31 14:34:15] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-07-31 14:34:39] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-07-31 14:36:11] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 14:37:25] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-07-31 14:37:48] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-07-31 14:38:49] [INFO] Occupancy fetched: room=fg#02, count=1
